job_name,job_desc,posting_date,location,company_name,job_type,job_application_link
Business Development Representative,"{'sections': {'companyDescription': {'title': 'Company Description', 'text': '<p>Nexthink is the leader in digital employee experience management software. The company provides IT leaders with unprecedented insight allowing them to see, diagnose and fix issues at scale impacting employees anywhere, with any application&#xa0;or network, before employees notice the issue. As the first solution&#xa0;to allow IT to progress from reactive problem solving to proactive optimization, Nexthink enables its more than 1,200 customers to provide better digital experiences to more than 15 million&#xa0;employees. Dual headquartered in Lausanne, Switzerland and Boston, Massachusetts, Nexthink has 9 offices worldwide</p><p>#LI-Hybrid</p>'}, 'jobDescription': {'title': 'Job Description', 'text': '<p><strong>Why is Nexthink looking for Exceptional BDRs?</strong></p><p>Nexthink is a rapidly growing software company that is driving towards an IPO while redefining the employee Digital Experience across enterprise organizations around the world. In order to continue and fuel our growth we need smart, driven, and hungry to succeed and grow Business Development Representatives. If you want to speak with forward thinking leaders in Information Technology for Global 2000 organizations then you belong here.</p><p><strong>What Makes a Great Nexthink BDR?</strong></p><p>We are looking for energetic/passionate people who want to break into the enterprise software space and begin to build a sales career! You will work closely with our enterprise sales &amp; marketing teams to drive new opportunities through outbound efforts and learn from some of the best! We focus on the value for our customers, and your job will be to convey that to new prospects so they can join our expanding Nexthink community!</p><p>We are a tight-knit team focused on building our global business and driving towards an IPO. If you have ever wanted to be a part of an exciting organization with the potential for rapid growth, then now is the time! We have the agility of a start-up with the backbone of a larger organization with more than 500 employees worldwide.</p><p><strong>What would you be doing?</strong></p><ul><li>A strong pipeline is the key to successful sales.The BDR is a critical contributor to the pipeline growth by generating encounters between an ideal persona identified within our prospect and a sales representative.</li><li>Conduct research and collect insights in line with our Ideal Customer Profile Strategy to create warm introductions to our prospects.</li><li>Outbound prospecting via various channels: including field marketing events participation outbound emails sequences, leveraging social networks activities and Nexthink assets.</li><li>Qualify and convert inbound leads.</li><li>Suggest Sales and Marketing initiatives to drive the pipeline.</li><li>Create qualified opportunities alongside our sales team.</li><li>Collaborate and contribute actively to marketing campaigns: follow up with Qualified leads.</li><li>Effectively articulate the value of our Nexthink solution to both technical and non-technical buyers.</li></ul><p>&#xa0;</p>'}, 'qualifications': {'title': 'Qualifications', 'text': '<ul><li>Fluent in English and French</li><li>University degree in a business subject or relevant experience previously in business development.</li><li>A fast learner who is always looking to improve and grow. Passionate and driven to excel.</li><li>Strong communication skills (both written and verbal)</li><li>Confident, outgoing personality who can drive pipeline activity.</li><li>Great team player, easygoing, must be able to work well with others, teamwork.</li><li>Experience in working in a fast paced, metrics-driven sales environment.</li><li>A demonstrable track record of exceeding targets</li></ul>'}, 'additionalInformation': {'title': 'Additional Information', 'text': '<p>We are the pioneers and trailblazers of a global IT Market Category that is shaping the future of how the world works, giving our customers’ IT Teams total digital visibility across their enterprise. Our innovative solutions integrate real-time analytics, automation, and employee feedback across all endpoints. This enables our IT teams to solve complex technical challenges, create ever more productive workplaces, and deliver happy, satisfied employees in the digital workplace.</p><p>With over 1000 employees across 5 continents, Nexthink operates as One Team, connecting, collaborating and innovating to continuously grow. We call our employees ‘Nexthinkers’ and our commitment to diversity, inclusion, and equity is second to none. We currently have over 75 nationalities working with us, from all cultures and backgrounds, speaking many different languages.</p><p>If you are looking for a change and like&#xa0;a nice atmosphere, lots of challenges, and having fun while working, this is&#xa0;a great opportunity&#xa0;for you!\u202fCheck what we offer:&#xa0;</p><ul><li><p>💼&#xa0;Permanent Contract and a competitive compensation package.&#xa0;</p></li></ul><ul><li><p>📍&#xa0;Office location in 9m ARR,\u202fRue de Caumartin.&#xa0;</p></li></ul><ul><li><p>🩺&#xa0;Health insurance employee-employer paid options covering medical, dental, and optical treatments, hospitalization, and equipment and 100% employer-paid life insurance.&#xa0;</p></li></ul><ul><li><p>🏡&#xa0;Hybrid work model balancing office and remote work, with a structured approach for new hires to foster connections and onboarding.&#xa0;</p></li></ul><ul><li><p>🏖️&#xa0;Flexible Hours and unlimited vacation (employees have unlimited paid time off on top of the 25\u202fdays of holidays we offer),\u202fRTT days, and 3 extra days for volunteering.&#xa0;</p></li></ul><ul><li><p>📚&#xa0;Free access to professional training platforms to explore your interests and enhance your skills.&#xa0;</p></li></ul><ul><li><p>🚆&#xa0;50% reimbursement on your Pass Navigo, making travel to and from work more affordable and sustainable.&#xa0;</p></li></ul><ul><li><p>🍼&#xa0;16 weeks of fully paid leave for primary caregivers, extendable up to 8&#xa0;additional&#xa0;months unpaid, and 6 weeks of fully paid leave for secondary caregivers.&#xa0;</p></li></ul><ul><li><p>🤸&#xa0;Reimbursement for fitness, gym memberships, and sports participation up to 25 EUR/month.&#xa0;</p></li></ul><ul><li><p>📣&#xa0;Bonuses for referring successful hires after three months of continuous employment.&#xa0;</p></li></ul><p>Please note that not all the benefits listed above are available for temporary, contract, and internship roles. To ensure you have the most up-to-date information, we recommend checking with your Recruitment Partner.</p>'}, 'videos': {'title': 'Videos To Watch', 'urls': ['https://www.youtube.com/watch?v=Iu5dcB4mH5U', 'https://www.youtube.com/watch?v=njzUl7QtBB8']}}}",09-05-2026,"Paris, IDF, France",Nexthink,Hybrid,https://jobs.smartrecruiters.com/Nexthink/744000125448969-business-development-representative?oga=true
Customer Advocacy Manager,"{'sections': {'companyDescription': {'title': 'Company Description', 'text': '<p>Nexthink is the leader in digital employee experience management software. The company provides IT leaders with unprecedented insight allowing them to see, diagnose and fix issues at scale impacting employees anywhere, with any application&#xa0;or network, before employees notice the issue. As the first solution&#xa0;to allow IT to progress from reactive problem solving to proactive optimization, Nexthink enables its more than 1,200 customers to provide better digital experiences to more than 15 million&#xa0;employees. Dual headquartered in Lausanne, Switzerland and Boston, Massachusetts, Nexthink has 9 offices worldwide.</p>'}, 'jobDescription': {'title': 'Job Description', 'text': '<p>Are you passionate about creating exceptional customer experiences and turning satisfied customers into powerful advocates? We are looking for a highly motivated, hands-on Customer Advocacy Manager to own the execution and operations of our global customer advocacy program.</p><p>Nexthink runs a dynamic, well-established global advocacy initiative—the Nexthink Ambassador Program—bringing together 200+ engaged customers from leading organizations.</p><p>In this role, you will help scale and evolve the program by driving engagement, delivering high-impact experiences, and translating participation into meaningful advocacy. You bring strong ownership, thrive in a fast-paced environment, and excel at building authentic relationships that deliver real customer value. You will work as part of a close-knit team, collaborating with colleagues across different areas of the community and advocacy lifecycle.</p><ul><li><strong>Program execution:</strong> Own day-to-day operations of the advocacy program, ensuring consistent, high-quality delivery.</li><li><strong>Customer recruitment &amp; engagement:</strong> Identify, recruit, and engage customers; build trusted relationships and create experiences that keep them active and invested.</li><li><strong>Experience design:</strong> Plan and execute a balanced calendar of virtual and in-person activities, including events, exclusive experiences, and recognition initiatives.</li><li><strong>Advocacy activation:</strong> Partner with internal teams to develop advocacy assets such as case studies, testimonials, peer reviews, and speaking opportunities.</li><li><strong>Community building:</strong> Foster a vibrant, inclusive community by creating moments that are both valuable and enjoyable for customers.</li><li><strong>Cross-functional alignment:</strong> Collaborate with marketing, customer success, sales, and product teams to align advocacy efforts with business priorities.</li><li><strong>Program optimization:</strong> Track engagement and impact metrics; continuously refine programs based on data and feedback. Establish scalable processes and tools to improve efficiency and maximize program impact.</li><li><strong>Customer communications:</strong> Deliver targeted, personalized communications that reflect the Nexthink brand—professional, approachable, and human.</li><li><strong>Tools &amp; vendors:</strong> Manage advocacy platforms and external partners to support program execution.</li></ul>'}, 'qualifications': {'title': 'Qualifications', 'text': '<ul><li><strong>Experience:</strong> 7+ years in customer marketing, advocacy, customer success, or similar customer-facing roles, with a track record of executing engagement programs.</li><li><strong>Customer mindset:</strong> Passion for building strong relationships and delivering exceptional experiences.</li><li><strong>Event management: </strong>Experience designing and delivering engaging virtual and in-person programs and events.</li><li><strong>Drive &amp; ownership:</strong> Proactive, hands-on, and results-oriented in a fast-paced environment.</li><li><strong>Engaging communicator:</strong> Strong written and verbal skills, with the ability to build rapport quickly. You bring warmth, authenticity, and positive energy to customer interactions.</li><li><strong>Operational excellence:</strong> Highly organized with strong project management skills and attention to detail.</li><li><strong>AI fluency:</strong> Comfortable leveraging AI tools to improve efficiency and impact.</li><li><strong>Collaboration:</strong> Proven ability to work cross-functionally and influence stakeholders.</li><li><strong>Data-driven:</strong> Able to use metrics and insights to optimize programs and demonstrate impact.</li><li><strong>Technical familiarity:</strong> Experience with CRM, marketing automation, and advocacy/community platforms is a plus.</li><li><strong>Education:</strong> Bachelor’s degree in marketing, business, or a related field.</li></ul><p><strong>Why Join Us?</strong></p><p>This is an opportunity to build on a strong foundation and take a high-impact advocacy program to the next level. You will join a company with a passionate customer community and a clear ambition to scale its impact.</p><p>At Nexthink, customers are at the heart of everything we do. You will play a key role in amplifying their voice, strengthening our community, and contributing directly to business growth.</p>'}, 'additionalInformation': {'title': 'Additional Information', 'text': '<p>We are the pioneers and trailblazers of a global IT Market Category&#xa0;(DEX)&#xa0;that is shaping the future of how the world works, giving our customers’ IT Teams total digital visibility across their enterprise. Our innovative solutions integrate real-time analytics, automation, and employee feedback across all endpoints. This enables our IT teams to solve complex technical challenges, create ever more productive workplaces, and deliver happy, satisfied employees in the digital workplace.</p><div sr-tagline=""""></div><p><strong>Total Rewards @ Nexthink</strong><br>\n<br>\nAt Nexthink, we offer one of the most comprehensive and generous benefits plans.&#xa0; Your total&#xa0;rewards compensation package includes base salary and may also include a commission or performance bonus plan.&#xa0; We provide our US employees with <em><strong>100% covered company benefits</strong></em> that consist of health, dental, vision as well as access to life insurance, long-term disability, and accidental death/personal loss coverage.&#xa0;</p><p>In addition, we offer:&#xa0;</p><ul><li>🏖️ Flexible Hours and unlimited vacation (employees have unlimited paid time off on top of the 15 days of holidays we offer), 11 company-paid holidays, and 3 extra days for volunteering.</li><li>🏡 Hybrid work model that balances office and remote work, with structured onboarding to foster connections and team integration.</li><li>📚 Free access&#xa0;to professional training platforms to explore your interests and enhance your skills.</li><li>🍼 Up to 16 weeks of paid leave for birthing parents/primary caregivers, 6 weeks for secondary caregivers.</li><li>💰 Plan for the future with a 401(k) plan featuring up to 4% company matching contributions, vesting immediately, to grow your retirement savings.</li><li>📣 Bonuses for referring successful hires after three months of continuous employment.</li></ul><p><em><strong>Base salary ranges are determined by country, role, level, experience, and skills</strong></em>. The range displayed on each job posting reflects Nexthink’s good faith determination of the minimum and maximum targets for new hire salaries across all US locations. Individual pay is determined by related factors, including job skills, experience, and relevant education or training, which may impact a final offer. Your Talent Acquisition Partner can share more about the specific salary range during the hiring process.<br>\n&#xa0;</p>'}, 'videos': {'title': 'Videos To Watch', 'urls': ['https://www.youtube.com/watch?v=njzUl7QtBB8']}}}",08-05-2026,"Boston, MA, United States",Nexthink,Hybrid,https://jobs.smartrecruiters.com/Nexthink/744000125346506-customer-advocacy-manager?oga=true
